subj	session	variance	catAss	ticks	feedType	phase	trial	length	tarCat	respSE	respRT	respACC	move
112101	3	1	1	2	1	1	19	47	D	D	290	1	13
112101	3	1	1	2	1	1	20	41	D	D	492	1	13
112101	3	1	1	2	1	1	21	14	A	D	316	0	13
112101	3	1	1	2	1	1	22	46	D	A	323	0	13
112101	3	1	1	2	1	1	23	54	D	D	283	1	13
112101	3	1	1	2	1	1	24	30	A	D	266	0	13
112101	3	1	1	2	1	1	25	45	A	A	323	1	13
112101	3	1	1	2	1	1	26	17	A	A	339	1	13
112101	3	1	1	2	1	1	27	15	A	D	273	0	13
112101	3	1	1	2	1	1	28	42	A	D	275	0	13
112101	3	1	1	2	1	1	29	31	A	A	339	1	13
112101	3	1	1	2	1	1	30	26	D	D	234	1	13
112101	3	1	1	2	1	1	31	20	A	D	244	0	13
112101	3	1	1	2	1	1	32	38	A	A	346	1	13
112101	3	1	1	2	1	1	33	17	A	D	321	0	13
112101	3	1	1	2	1	1	34	30	D	D	325	1	13
112101	3	1	1	2	1	1	35	21	A	A	86	1	13
112101	3	1	1	2	1	1	36	26	A	D	204	0	13
112101	3	1	1	2	1	1	37	6	A	A	226	1	13
112101	3	1	1	2	1	1	38	25	D	A	275	0	13
112101	3	1	1	2	1	1	39	24	A	D	212	0	13
112101	3	1	1	2	1	1	40	34	D	D	459	1	13
112101	3	1	1	2	1	1	41	32	A	D	323	0	13
112101	3	1	1	2	1	1	42	29	D	A	259	0	13
112101	3	1	1	2	1	1	43	18	A	D	443	0	13
112101	3	1	1	2	1	1	44	42	D	A	266	0	13
112101	3	1	1	2	1	1	45	29	D	D	353	1	13
112101	3	1	1	2	1	1	46	29	A	D	252	0	13
112101	3	1	1	2	1	1	47	26	D	D	300	1	13
112101	3	1	1	2	1	1	48	24	A	D	307	0	13
112101	3	1	1	2	1	1	49	37	A	A	316	1	13
112101	3	1	1	2	1	1	50	49	D	D	380	1	13
112101	3	1	1	2	1	1	51	21	D	D	364	1	13
112101	3	1	1	2	1	1	52	33	D	D	299	1	13
112101	3	1	1	2	1	1	53	31	D	A	250	0	13
112101	3	1	1	2	1	1	54	23	A	A	435	1	13
112101	3	1	1	2	1	1	55	18	A	D	611	0	13
112101	3	1	1	2	1	1	56	55	D	A	627	0	13
112101	3	1	1	2	1	1	57	27	A	D	435	0	13
112101	3	1	1	2	1	1	58	28	A	A	315	1	13
112101	3	1	1	2	1	1	59	44	A	D	257	0	13
112101	3	1	1	2	1	1	60	25	A	A	404	1	13
112101	3	1	1	2	1	1	61	46	A	D	371	0	13
112101	3	1	1	2	1	1	62	21	A	D	580	0	13
112101	3	1	1	2	1	1	63	34	D	A	275	0	13
112101	3	1	1	2	1	1	64	36	D	D	323	1	13
112101	3	1	1	2	1	1	65	32	A	D	498	0	13
112101	3	1	1	2	1	1	66	39	D	A	250	0	13
112101	3	1	1	2	1	1	67	46	D	D	260	1	13
112101	3	1	1	2	1	1	68	22	A	D	274	0	13
112101	3	1	1	2	1	1	69	38	A	D	363	0	13
112101	3	1	1	2	1	1	70	32	D	D	237	1	13
112101	3	1	1	2	1	1	71	11	A	A	156	1	13
112101	3	1	1	2	1	1	72	30	D	A	280	0	13
112101	3	1	1	2	1	1	73	31	D	D	228	1	13
112101	3	1	1	2	1	1	74	35	A	D	307	0	13
112101	3	1	1	2	1	1	75	17	D	A	699	0	13
112101	3	1	1	2	1	1	76	43	A	D	396	0	13
112101	3	1	1	2	1	1	77	23	D	D	275	1	13
112101	3	1	1	2	1	1	78	30	A	D	236	0	13
112101	3	1	1	2	1	1	79	27	A	A	284	1	13
112101	3	1	1	2	1	1	80	43	D	A	250	0	13
112101	3	1	1	2	1	1	81	7	A	D	228	0	13
112101	3	1	1	2	1	1	82	16	D	A	315	0	13
112101	3	1	1	2	1	1	83	40	A	D	289	0	13
112101	3	1	1	2	1	1	84	22	A	D	1492	0	13
112101	3	1	1	2	1	1	85	36	D	A	243	0	13
112101	3	1	1	2	1	1	86	34	D	D	1283	1	13
112101	3	1	1	2	1	1	87	22	D	D	299	1	13
112101	3	1	1	2	1	1	88	28	D	D	283	1	13
112101	3	1	1	2	1	1	89	47	A	D	267	0	13
112101	3	1	1	2	1	1	90	12	A	A	387	1	13
112101	3	1	1	2	1	1	91	39	D	D	307	1	13
112101	3	1	1	2	1	1	92	34	A	A	188	1	13
112101	3	1	1	2	1	1	93	13	A	D	252	0	13
112101	3	1	1	2	1	1	94	19	A	D	297	0	13
112101	3	1	1	2	1	1	95	33	D	A	244	0	13
112101	3	1	1	2	1	1	96	36	A	D	235	0	13
112101	3	1	1	2	1	1	97	34	A	A	244	1	13
112101	3	1	1	2	1	1	98	14	D	A	307	0	13
112101	3	1	1	2	1	1	99	38	D	D	443	1	13
112101	3	1	1	2	1	1	100	32	D	D	402	1	13
112101	3	1	1	2	1	1	101	38	D	A	291	0	13
112101	3	1	1	2	1	1	102	14	A	D	426	0	13
112101	3	1	1	2	1	1	103	37	A	D	356	0	13
112101	3	1	1	2	1	1	104	33	A	D	284	0	13
112101	3	1	1	2	1	1	105	31	A	D	243	0	13
112101	3	1	1	2	1	1	106	23	D	A	260	0	13
112101	3	1	1	2	1	1	107	21	A	D	484	0	13
112101	3	1	1	2	1	1	108	37	D	D	258	1	13
112101	3	1	1	2	1	1	109	28	A	D	402	0	13
112101	3	1	1	2	1	1	110	43	D	D	337	1	13
112101	3	1	1	2	1	1	111	50	D	A	333	0	13
112101	3	1	1	2	1	1	112	30	A	D	251	0	13
112101	3	1	1	2	1	1	113	45	D	D	338	1	13
112101	3	1	1	2	1	1	114	37	D	A	484	0	13
112101	3	1	1	2	1	1	115	33	A	D	474	0	13
112101	3	1	1	2	1	1	116	40	D	A	323	0	13
112101	3	1	1	2	1	1	117	29	A	A	219	1	13
112101	3	1	1	2	1	1	118	19	D	A	234	0	13
112101	3	1	1	2	1	1	119	39	A	A	284	1	13
112101	3	1	1	2	1	1	120	42	D	D	261	1	13
112101	3	1	1	2	1	1	121	31	D	A	282	0	13
112101	3	1	1	2	1	1	122	35	D	A	236	0	13
112101	3	1	1	2	1	1	123	24	D	A	235	0	13
112101	3	1	1	2	1	1	124	15	A	D	226	0	13
112101	3	1	1	2	1	1	125	33	D	D	540	1	13
112101	3	1	1	2	1	1	126	38	D	D	474	1	13
112101	3	1	1	2	1	1	127	44	D	A	373	0	13
